host_id_x,neighbourhood,latitude_x,longitude_x,room_type_x,price_x,number_of_reviews_x,reviews_per_month_x,availability_365_x,accommodates,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,review_scores_rating,instant_bookable
1379558.0,I Centro Storico,41.89514,12.46542,Private room,80.0,318.0,2.24,272.0,3.0,within an hour,100.0,100.0,0.0,4.48,1.0
1211048.0,I Centro Storico,41.88682,12.49815,Entire home/apt,200.0,35.0,0.36,282.0,5.0,within a few hours,100.0,100.0,1.0,4.91,1.0
1381045.0,XIII Aurelia,41.89701,12.45569,Entire home/apt,117.0,405.0,3.02,13.0,4.0,within an hour,100.0,100.0,0.0,4.93,1.0
1216092.0,VIII Appia Antica,41.8363,12.54239,Private room,170.0,0.0,0.742,310.0,2.0,within a few hours,100.0,80.2,0.0,4.838,0.0
1379558.0,I Centro Storico,41.89333,12.46665,Private room,90.0,349.0,2.45,199.0,4.0,within an hour,100.0,100.0,0.0,4.54,1.0
1395539.0,I Centro Storico,41.90175,12.48465,Entire home/apt,240.0,123.0,1.11,292.0,5.0,within a day,94.0,98.0,0.0,4.68,0.0
1395539.0,I Centro Storico,41.90282,12.48644,Entire home/apt,140.0,152.0,1.13,279.0,3.0,within a day,94.0,98.0,0.0,4.6,0.0
1384510.0,II Parioli/Nomentano,41.9371,12.51528,Entire home/apt,390.0,8.0,0.06,354.0,12.0,within an hour,100.0,50.0,0.0,4.25,0.0
1395539.0,I Centro Storico,41.9014,12.48444,Entire home/apt,240.0,80.0,0.58,313.0,4.0,within a day,94.0,98.0,0.0,4.54,0.0
1395539.0,I Centro Storico,41.89335,12.46627,Entire home/apt,240.0,98.0,0.75,313.0,6.0,within a day,94.0,98.0,0.0,4.66,0.0
1388641.0,XIII Aurelia,41.89835,12.45247,Private room,94.0,234.0,1.68,182.0,2.0,within an hour,100.0,100.0,0.0,4.77,1.0
1395539.0,I Centro Storico,41.89178,12.46977,Entire home/apt,240.0,147.0,1.23,299.0,6.0,within a day,94.0,98.0,0.0,4.68,0.0
1236275.0,I Centro Storico,41.89786,12.50514,Private room,76.0,176.0,1.21,169.0,11.0,within a few hours,100.0,66.0,1.0,4.72,0.0
1390634.0,XV Cassia/Flaminia,41.98118,12.40899,Entire home/apt,150.0,0.0,1.196,365.0,4.0,within a few hours,100.0,73.0,1.0,4.836,0.0
